Date,Home,Opponent,Blank,Score,Blank2,Formation,Jersey,Shots,ShotsonTarget,Fouls,Corners,Offsides,Posession(%),Attendence,Season,MD,HomeDummy,For,Against,GD,win,draw,lose,result
19,,Fulham,,3-0,,    4-4-2,NA,13,3,12,3,3,60,25297,2007-8,0,0,3,0,3,1,0,0,Win
29,home,Newcastle,,3-0,,    4-4-2,NA,12,4,13,4,1,57,60127,2007-8,0,1,3,0,3,1,0,0,Win
02-Feb-08,,Man City,,03-Jan,,    4-4-2,NA,14,9,7,9,5,57,46426,2007-8,0,0,3,1,2,1,0,0,Win
11,home,Blackburn,,2-0,,    4-4-2,NA,13,9,12,7,2,51,60049,2007-8,0,1,2,0,2,1,0,0,Win
23,,Birminghm,,02-Feb,,    4-4-2,NA,26,13,13,7,4,59,27195,2007-8,1,0,2,2,0,0,1,0,Draw
9,,Wigan,,0-0,,    4-4-2,NA,10,6,8,5,3,53,19676,2007-8,0,0,0,0,0,0,1,0,Draw
23,,Chelsea,,01-Feb,,    4-4-2,NA,7,5,13,2,1,48,41824,2007-8,0,0,1,2,-1,0,0,1,Lose
13,,Man Utd,,01-Feb,,    4-4-2,NA,18,11,7,5,2,48,75985,2007-8,0,0,1,2,-1,0,0,1,Lose
26,,Man City,,0-1,,    4-4-2,NA,20,6,8,8,3,53,40699,2006-7,0,0,0,1,-1,0,0,1,Lose
17,,Man Utd,,1-0,,    4-1-4-1,NA,14,7,11,5,4,50,75595,2006-7,0,0,1,0,1,1,0,0,Win
30,,Charlton,,02-Jan,,    4-4-1-1,NA,22,12,8,7,2,47,26770,2006-7,0,0,2,1,1,1,0,0,Win
14-Oct-06,home,Watford,,3-0,,    4-4-2,NA,15,7,7,8,4,58,60018,2006-7,0,1,3,0,3,1,0,0,Win
05-Nov-06,,West Ham,,0-1,,    4-1-4-1,NA,12,5,8,3,5,48,34969,2006-7,0,0,0,1,-1,0,0,1,Lose
18,home,Newcastle,,01-Jan,,    4-4-1-1,NA,26,10,10,11,4,60,60058,2006-7,0,1,1,1,0,0,1,0,Draw
29,,Fulham,,01-Feb,,    4-4-2,NA,8,2,15,6,4,44,24510,2006-7,0,0,1,2,-1,0,0,1,Lose
02-Dec-06,home,Tottenham,,3-0,,    4-4-2,NA,6,6,15,3,3,53,60115,2006-7,0,1,3,0,3,1,0,0,Win
10,,Chelsea,,01-Jan,,    4-5-1,NA,12,4,16,5,4,51,41917,2006-7,0,0,1,1,0,0,1,0,Draw
13,,Wigan,,1-0,,    4-4-1-1,NA,10,3,7,7,3,52,15311,2006-7,0,0,1,0,1,1,0,0,Win
23,home,Blackburn,,06-Feb,,    4-4-2,NA,18,12,14,NA,4,60,59913,2006-7,0,1,6,2,4,1,0,0,Win
26,,Watford,,02-Jan,,    4-4-1-1,NA,15,7,5,4,5,44,19750,2006-7,1,0,2,1,1,1,0,0,Win
02-Jan-07,home,Charlton,,4-0,,    4-4-2,NA,17,10,13,8,6,50,60057,2006-7,0,1,4,0,4,1,0,0,Win
13,,Blackburn,,2-0,,    4-4-1-1,NA,8,4,5,2,3,52,21852,2006-7,0,0,2,0,2,1,0,0,Win
21,home,Man Utd,,02-Jan,,    4-4-2,NA,19,11,13,8,1,53,60128,2006-7,0,1,2,1,1,1,0,0,Win
11,home,Wigan,,02-Jan,,    4-4-2,NA,11,3,NA,10,5,44,60049,2006-7,0,1,2,1,1,1,0,0,Win
07-Apr-07,home,West Ham,,0-1,,    4-4-1-1,NA,29,11,11,14,NA,63,60098,2006-7,0,1,0,1,-1,0,0,1,Lose
9,,Newcastle,,0-0,,    4-4-2,NA,6,1,15,6,3,57,52293,2006-7,0,0,0,0,0,0,1,0,Draw
17,home,Man City,,03-Jan,,    4-4-1-1,NA,14,6,7,8,1,66,59913,2006-7,0,1,3,1,2,1,0,0,Win
